date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:02	12308/12308	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Oct%202025%2001:21:42%20GMT	https://andrara.com/robots.txt		(from )
20:22:04	124903/124903	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Oct%202025%2001:22:03%20GMT	https://andrara.com/	C:/My%20Web%20Sites/maqueta1/andrara.com/index.html	(from )
20:22:05	282034/282034	---M--	200	added ('OK')	text/css	etag:%2244db2-63d51df951a40%22	https://andrara.com/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.6.14	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main32bb.css	(from https://andrara.com/)
20:22:06	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-63d51df581140%22	https://andrara.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.31.2	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/plugins/elementor/assets/css/widget-image.min242d.css	(from https://andrara.com/)
20:22:06	53715/53715	---M--	200	added ('OK')	text/css	etag:%22d1d3-63dcfbda0bb04%22	https://andrara.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1756812309	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/uploads/elementor/css/custom-frontend.min36ab.css	(from https://andrara.com/)
20:22:06	716/716	---MC-	200	added ('OK')	application/rss+xml	etag:%229202230a74e36d103aac3cbed89b1541%22	https://andrara.com/comments/feed/	C:/My%20Web%20Sites/maqueta1/andrara.com/comments/feed/index.html	(from https://andrara.com/)
20:22:06	1035/1035	---MC-	200	added ('OK')	application/rss+xml	etag:%229202230a74e36d103aac3cbed89b1541%22	https://andrara.com/feed/	C:/My%20Web%20Sites/maqueta1/andrara.com/feed/index.html	(from https://andrara.com/)
20:22:06	177021/177021	---M--	200	added ('OK')	text/css	etag:%222b37d-63dcfbdb39738%22	https://andrara.com/wp-content/uploads/elementor/css/post-13.css?ver=1756812310	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/uploads/elementor/css/post-13d966.css	(from https://andrara.com/)
20:22:06	12342/12342	---M--	200	added ('OK')	text/css	etag:%223036-63ded4d144cec%22	https://andrara.com/wp-content/uploads/elementor/css/post-33.css?ver=1756939269	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/uploads/elementor/css/post-33e9e7.css	(from https://andrara.com/)
20:22:06	600/600	---M--	200	added ('OK')	text/css	etag:%22258-63d51df581140%22	https://andrara.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.31.2	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/plugins/elementor/assets/css/widget-heading.min242d.css	(from https://andrara.com/)
20:22:07	10465/10465	---M--	200	added ('OK')	text/css	etag:%2228e1-63dcfbda0f984%22	https://andrara.com/wp-content/uploads/elementor/css/custom-widget-icon-list.min.css?ver=1756812309	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/uploads/elementor/css/custom-widget-icon-list.min36ab.css	(from https://andrara.com/)
20:22:07	4298/4298	---M--	200	added ('OK')	text/css	etag:%2210ca-63d51df581140%22	https://andrara.com/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.31.2	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/plugins/elementor/assets/css/widget-divider.min242d.css	(from https://andrara.com/)
20:22:07	26464/26464	---M--	200	added ('OK')	text/css	etag:%226760-63dcfbdb84a5d%22	https://andrara.com/wp-content/uploads/elementor/css/post-399.css?ver=1756812310	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/uploads/elementor/css/post-399d966.css	(from https://andrara.com/)
20:22:07	5116/5116	---M--	200	added ('OK')	text/css	etag:%2213fc-63dcfbdb9251e%22	https://andrara.com/wp-content/uploads/elementor/css/post-8.css?ver=1756812310	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/uploads/elementor/css/post-8d966.css	(from https://andrara.com/)
20:22:07	139/139	---M--	200	added ('OK')	text/css	etag:%228b-63d51df581140%22	https://andrara.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.min.css?ver=3.31.2	C:/My%20Web%20Sites/maqueta1/andrara.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.min242d.css	(from https://andrara.com/)
